trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_repetitive_0030,0,repetitive,-12.170028047258244,-12.16271310919088,0.0,3.6021801550328867,3.5720354784790835,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0031,0,repetitive,-11.006516333033836,-11.001190147811279,0.0,4.018535249213542,3.996697800720659,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0032,0,repetitive,-11.608626387181477,-11.608148042614905,0.0,3.6300664961543614,3.6223504126849626,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0033,0,repetitive,-13.31098819566655,-13.312826385545304,0.0,3.5506896978918867,3.5872279012680846,0.0,1.1666666666666667,1.1666666666666667,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0034,0,repetitive,-11.909514417195586,-11.916090023123386,0.0,3.4415332476944673,3.4236246775646357,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0035,0,repetitive,-13.473340322091163,-13.478462921850378,0.0,3.5536591667489787,3.5201690018311638,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0036,0,repetitive,-12.361679846545313,-12.357688667930876,0.0,3.338169130812915,3.375409552609174,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0037,0,repetitive,-14.042945219285407,-14.028960365236397,0.0,3.6840981894582487,3.632431257832703,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0038,0,repetitive,-18.481756518864362,-18.483269359346302,0.0,2.349536458612832,2.3073365817631455,0.0,0.85,0.85,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0039,0,repetitive,-11.05745473658318,-11.036527956014615,0.0,3.5581495233694866,3.521540197793355,0.0,1.1833333333333333,1.1833333333333333,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0040,0,repetitive,-17.635035618945466,-17.645573791266127,0.0,2.1109325315936402,2.268232827715984,0.0,0.95,0.95,0.0,0,0,0,0,0.0,0.0
batch_repetitive_0041,0,repetitive,-18.441142841987972,-18.433872087647817,0.0,2.1280444025399916,2.232799170220037,0.0,0.85,0.85,0.0,0,0,0,0,0.0,0.0
