trace_id,seed,condition,pattern_label,config_hash,tempo_req,tempo_eff,tempo_req_oob,tempo_eff_oob,tempo_clamped,tempo_delta,gain_req,gain_eff,gain_req_oob,gain_eff_oob,gain_clamped,gain_delta,gain_unit,accent_req,accent_eff,accent_req_oob,accent_eff_oob,accent_clamped,accent_delta,accent_pct_req,accent_pct_eff,integrated_lufs,lra_lu,onset_density_eps,peak_lufs,audio_path,session_report_path
batch_exploratory_0004,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,100,120,1.0,0.0,1,20,-7.2416606801426315,-7.2416606801426315,0.0,0.0,0,0.0,linear,0.6560499847607432,0.5,1.0,0.0,1,-0.15604998476074317,65.60499847607431,50.0,-18.749467248846823,2.059471964469676,1.2166666666666666,-17.372367794218135,runs\constrained_default\batch_exploratory_0004\0\audio.wav,runs\constrained_default\batch_exploratory_0004\0\sessionReport.json
batch_exploratory_0005,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.06155543381117,-3.06155543381117,0.0,0.0,0,0.0,linear,0.6289999999999749,0.5,1.0,0.0,1,-0.1289999999999749,62.89999999999749,50.0,-11.329364201416585,2.70247672694728,1.3166666666666667,-9.812266136031218,runs\constrained_default\batch_exploratory_0005\0\audio.wav,runs\constrained_default\batch_exploratory_0005\0\sessionReport.json
batch_exploratory_0006,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.1267632976812845,-4.1267632976812845,0.0,0.0,0,0.0,linear,0.5202890494719139,0.5,1.0,0.0,1,-0.0202890494719139,52.02890494719139,50.0,-12.394572064257465,2.7024767234366127,1.3166666666666667,-10.877474001434216,runs\constrained_default\batch_exploratory_0006\0\audio.wav,runs\constrained_default\batch_exploratory_0006\0\sessionReport.json
batch_exploratory_0007,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.0985691782332476,-3.0985691782332476,0.0,0.0,0,0.0,linear,0.507317073170761,0.5,1.0,0.0,1,-0.007317073170761024,50.7317073170761,50.0,-11.36637794625202,2.702476725259105,1.3166666666666667,-9.849279879098727,runs\constrained_default\batch_exploratory_0007\0\audio.wav,runs\constrained_default\batch_exploratory_0007\0\sessionReport.json
batch_exploratory_0008,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,100,120,1.0,0.0,1,20,-7.148070174607428,-7.148070174607428,0.0,0.0,0,0.0,linear,0.5964667596466742,0.5,1.0,0.0,1,-0.09646675964667417,59.646675964667416,50.0,-18.65587674382987,2.059471964736595,1.2166666666666666,-17.278777294944483,runs\constrained_default\batch_exploratory_0008\0\audio.wav,runs\constrained_default\batch_exploratory_0008\0\sessionReport.json
batch_exploratory_0009,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.338178043619061,-4.338178043619061,0.0,0.0,0,0.0,linear,0.620522488553751,0.5,1.0,0.0,1,-0.12052248855375103,62.052248855375105,50.0,-12.605986810931618,2.702476734719193,1.3166666666666667,-11.088888739570395,runs\constrained_default\batch_exploratory_0009\0\audio.wav,runs\constrained_default\batch_exploratory_0009\0\sessionReport.json
batch_exploratory_0010,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.337550108344893,-4.337550108344893,0.0,0.0,0,0.0,linear,0.7340682979295878,0.5,1.0,0.0,1,-0.23406829792958783,73.40682979295879,50.0,-12.605358875349166,2.702476727078114,1.3166666666666667,-11.088260811832688,runs\constrained_default\batch_exploratory_0010\0\audio.wav,runs\constrained_default\batch_exploratory_0010\0\sessionReport.json
batch_exploratory_0011,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-2.9636930726498942,-2.9636930726498942,0.0,0.0,0,0.0,linear,0.5659045057161965,0.5,1.0,0.0,1,-0.06590450571619655,56.590450571619655,50.0,-11.231501839282307,2.702476730467552,1.3166666666666667,-9.714403771059663,runs\constrained_default\batch_exploratory_0011\0\audio.wav,runs\constrained_default\batch_exploratory_0011\0\sessionReport.json
batch_exploratory_0012,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,126,126,0.0,0.0,0,0,-5.7503982425480915,-5.7503982425480915,0.0,0.0,0,0.0,linear,0.6394786630229422,0.5,1.0,0.0,1,-0.1394786630229422,63.94786630229422,50.0,-13.971716750725236,2.795856795879672,1.3,-12.497797251367114,runs\constrained_default\batch_exploratory_0012\0\audio.wav,runs\constrained_default\batch_exploratory_0012\0\sessionReport.json
batch_exploratory_0013,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,124,124,0.0,0.0,0,0,-5.663291127474178,-5.663291127474178,0.0,0.0,0,0.0,linear,0.5535420098847258,0.5,1.0,0.0,1,-0.053542009884725794,55.35420098847258,50.0,-13.876058465041556,2.8534464640724213,1.2833333333333334,-12.31415954613168,runs\constrained_default\batch_exploratory_0013\0\audio.wav,runs\constrained_default\batch_exploratory_0013\0\sessionReport.json
