trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0052,0,exploratory,-17.752724573192005,-18.33149944054886,-0.5787748673568558,2.248547262998759,0.7166065232278598,-1.5319407397708993,1.1,1.2833333333333334,0.18333333333333335,1,0,1,15,0.0,-0.42979770366321235
batch_exploratory_0053,0,exploratory,-13.776123920204041,-14.225248025761811,-0.44912410555776994,3.3469493993298496,0.8181167138096193,-2.5288326855202303,1.3,1.3,0.0,0,0,1,0,0.0,-0.518988132417195
batch_exploratory_0054,0,exploratory,-13.167298584150673,-13.768630431025516,-0.6013318468748423,3.847740900359952,0.85652250715383,-2.991218393206122,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.4055754127439366,-0.49409594095942844
batch_exploratory_0055,0,exploratory,-13.582953773416225,-13.862579180494057,-0.2796254070778321,3.6582629242867135,0.8565224982320991,-2.8017404260546144,1.4166666666666667,1.3,-0.1166666666666667,1,0,1,-11,0.0,-0.5079415791875768
batch_exploratory_0056,0,exploratory,-17.87322652438895,-18.55110699723387,-0.6778804728449188,2.666139286792088,0.7166065287306367,-1.9495327580614514,1.0833333333333333,1.2833333333333334,0.20000000000000018,1,0,1,18,0.0,-0.5164021164021269
batch_exploratory_0057,0,exploratory,-12.173686270594104,-13.768630431025516,-1.594944160431412,4.092644171587331,0.85652250715383,-3.236121664433501,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.373663303964622,-0.5513569937369592
batch_exploratory_0058,0,exploratory,-13.786166226080125,-13.960866721205102,-0.1747004951249771,3.841440877688969,0.8565225056201129,-2.984918372068856,1.45,1.3,-0.1499999999999999,1,0,1,-14,0.0,-0.48449720670391205
batch_exploratory_0059,0,exploratory,-18.000636475144557,-18.81533303989142,-0.814696564746864,2.6247659817010103,0.7166065287935801,-1.9081594529074302,1.05,1.2833333333333334,0.2333333333333334,1,0,1,21,0.0,-0.5703881827550603
batch_exploratory_0060,0,exploratory,-12.907587040105183,-13.768630431025516,-0.861043390920333,3.818863709493842,0.85652250715383,-2.9623412023400117,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.6816749922008523,-0.49823103725543183
batch_exploratory_0061,0,exploratory,-11.490941645509773,-13.768630431025516,-2.2776887855157426,3.8577585862170505,0.85652250715383,-3.0012360790632204,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.1051735879850684,-0.4921581769436677
batch_exploratory_0062,0,exploratory,-12.104289284809289,-13.768630431025516,-1.664341146216227,4.119321830772348,0.85652250715383,-3.262799323618518,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.4427136902922193,-0.5384839650145493
batch_exploratory_0063,0,exploratory,-13.907402750678797,-14.339298914687793,-0.43189616400899666,3.161028420912274,0.8181167162212102,-2.3429117046910637,1.3,1.3,0.0,0,0,1,0,0.0,-0.4866583541147176
batch_exploratory_0064,0,exploratory,-12.915527034545113,-13.768630431025516,-0.8531033964804031,3.605726153448103,0.85652250715383,-2.749203646294273,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.6960313829879068,-0.4594781273983023
batch_exploratory_0065,0,exploratory,-11.237546850515956,-13.768630431025516,-2.5310835805095593,3.9870722259578812,0.85652250715383,-3.130549718804051,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.3218586533046075,-0.5122874002082397
batch_exploratory_0066,0,exploratory,-17.48353079040729,-18.08211021369028,-0.5985794232829917,2.44978113320634,0.7166065255607101,-1.7331746076456298,1.2,1.2833333333333334,0.08333333333333348,1,0,1,8,0.0,-0.4829000577700493
batch_exploratory_0067,0,exploratory,-12.271558329409844,-13.768630431025516,-1.4970721016156716,4.294120812075647,0.85652250715383,-3.437598304921817,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.2484374038659523,-0.5744791666666759
batch_exploratory_0068,0,exploratory,-13.324864898854566,-13.768630431025516,-0.44376553217094994,4.743520434249488,0.85652250715383,-3.886997927095658,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.11308369033856813,-0.6651349380014433
batch_exploratory_0069,0,exploratory,-13.424713036676057,-13.768630431025516,-0.3439173943494591,3.6071710274668085,0.85652250715383,-2.7506485203129785,1.4166666666666667,1.3,-0.1166666666666667,1,1,1,-13,-0.12188253599343657,-0.4906771799629005
batch_exploratory_0070,0,exploratory,-11.124916070817342,-13.768630431025516,-2.6437143602081736,3.6184188670078328,0.85652250715383,-2.7618963598540027,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.4871238026916846,-0.45718782791188106
batch_exploratory_0071,0,exploratory,-17.85512173227626,-18.467526100086307,-0.612404367810047,2.474472602317533,0.7166065213618786,-1.7578660809556546,1.1,1.2833333333333334,0.18333333333333335,1,0,1,15,0.0,-0.4600145269656726
batch_exploratory_0072,0,exploratory,-17.725569614066334,-18.378659991008238,-0.6530903769419041,2.2906943941002247,0.7166065241549049,-1.5740878699453198,1.1833333333333333,1.2833333333333334,0.10000000000000009,1,0,1,11,0.0,-0.5154282473057249
batch_exploratory_0073,0,exploratory,-12.455469421855334,-13.768630431025516,-1.313161009170182,3.776017716892733,0.85652250715383,-2.919495209738903,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.117527373519546,-0.48056265984655633
batch_exploratory_0074,0,exploratory,-13.528897733713766,-13.768630431025516,-0.23973269731174973,3.5292023835430566,0.85652250715383,-2.6726798763892265,1.4166666666666667,1.3,-0.1166666666666667,1,1,1,-13,-0.041985000305824194,-0.4673791821561253
batch_exploratory_0075,0,exploratory,-13.922282923725303,-14.439442211583723,-0.5171592878584192,3.496333845069117,0.8567617688487559,-2.639572076220361,1.2833333333333334,1.2833333333333334,0.0,1,0,1,2,0.0,-0.5622744780052292
batch_exploratory_0076,0,exploratory,-11.975884328503659,-13.768630431025516,-1.792746102521857,3.990900251319241,0.85652250715383,-3.134377744165411,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.5720847128444722,-0.5103856665654696
batch_exploratory_0077,0,exploratory,-12.343227092937376,-13.768630431025516,-1.42540333808814,4.260533315054028,0.85652250715383,-3.404010807900198,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.1758124334511306,-0.5817396313363957
batch_exploratory_0078,0,exploratory,-12.255031228932081,-13.768630431025516,-1.5135992020934346,3.9305832919596906,0.85652250715383,-3.0740607848058605,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.3167062849794475,-0.5098998232174697
batch_exploratory_0079,0,exploratory,-11.832709908466684,-13.768630431025516,-1.9359205225588312,3.769408053832894,0.85652250715383,-2.912885546679064,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.7291974915528567,-0.48015748031497985
batch_exploratory_0080,0,exploratory,-13.739149616527481,-14.195356762482087,-0.45620714595460576,3.34920699066555,0.8567617750385672,-2.492445215626983,1.2833333333333334,1.2833333333333334,0.0,0,0,1,0,0.0,-0.49503105590055363
batch_exploratory_0081,0,exploratory,-12.251120318081487,-13.768630431025516,-1.517510112944029,3.5938787262233785,0.85652250715383,-2.7373562190695484,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.370912710014307,-0.4530303030302989
batch_exploratory_0082,0,exploratory,-12.474407719336803,-13.768630431025516,-1.2942227116887128,3.874773175539943,0.85652250715383,-3.018250668386113,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.0898057628409328,-0.49815950920245233
