trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_repetitive_0032,0,repetitive,-11.608626387181477,-11.510722757202133,0.09790362997934388,3.6300664961543614,3.1645771652424255,-0.4654893309119359,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.0797284496369346
batch_repetitive_0033,0,repetitive,-13.31098819566655,-13.277438227213372,0.033549968453177925,3.5506896978918867,3.157759307675276,-0.3929303902166108,1.1666666666666667,1.0833333333333333,-0.08333333333333348,1,0,1,-9,0.0,-0.09471977767484241
batch_repetitive_0034,0,repetitive,-11.909514417195586,-11.777940220180783,0.13157419701480322,3.4415332476944673,3.1587386636179318,-0.28279458407653557,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.03879443585780251
batch_repetitive_0035,0,repetitive,-13.473340322091163,-13.354562808557747,0.11877751353341637,3.5536591667489787,3.1545567429641643,-0.3991024237848144,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.06210228611830759
batch_repetitive_0036,0,repetitive,-12.361679846545313,-12.209591531204515,0.15208831534079792,3.338169130812915,3.152846639343844,-0.18532249146907098,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.03197430885228547
batch_repetitive_0037,0,repetitive,-14.042945219285407,-14.149279514241558,-0.10633429495615054,3.6840981894582487,3.2268434503312537,-0.457254739126995,1.0,1.0,0.0,0,0,1,0,0.0,-0.11482820976489683
batch_repetitive_0038,0,repetitive,-18.481756518864362,-18.591346435906225,-0.1095899170418626,2.349536458612832,1.9817725723235817,-0.36776388628925005,0.85,1.0,0.15000000000000002,1,0,1,20,0.0,-0.036453645364537324
batch_repetitive_0039,0,repetitive,-11.05745473658318,-10.912134131289841,0.1453206052933389,3.5581495233694866,3.158460201105054,-0.39968932226443243,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.06122813280962569
batch_repetitive_0040,0,repetitive,-17.635035618945466,-17.719230347740314,-0.08419472879484857,2.1109325315936402,1.9947746553359842,-0.11615787625765606,0.95,1.0,0.050000000000000044,1,0,1,10,0.0,-0.04146073585944143
batch_repetitive_0041,0,repetitive,-18.441142841987972,-18.529482075230828,-0.08833923324285564,2.1280444025399916,1.9890384162686239,-0.13900598627136773,0.85,1.0,0.15000000000000002,1,0,1,20,0.0,-0.03128313891835088
batch_repetitive_0042,0,repetitive,-11.735887258463663,-11.61423959361128,0.12164766485238232,3.4806920174395515,3.161873905498087,-0.31881811194146437,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.06797966963155944
batch_repetitive_0043,0,exploratory,-13.5605241137875,-13.498559323771559,0.06196479001594035,3.33270653265731,3.1547481603366307,-0.17795837232067946,1.1666666666666667,1.0833333333333333,-0.08333333333333348,1,0,1,-8,0.0,-0.05553005966039559
batch_repetitive_0044,0,repetitive,-13.931974440062705,-14.041779343864865,-0.10980490380216068,3.8896875248537217,3.1781847483748678,-0.711502776478854,1.0,1.0,0.0,0,0,1,0,0.0,-0.14512902580514975
batch_repetitive_0045,0,repetitive,-11.391575780221444,-11.209789849420432,0.1817859308010128,3.5358300854229245,3.1710854245489166,-0.3647446608740079,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.046838011498165355
batch_repetitive_0046,0,repetitive,-18.04656256798834,-18.245189485894908,-0.1986269179065694,2.3482434790527087,1.9859625298381829,-0.3622809492145258,0.8666666666666667,1.0,0.1333333333333333,1,0,1,17,0.0,-0.1171753750646497
batch_repetitive_0047,0,repetitive,-13.60311938220275,-13.714413642543162,-0.11129426034041145,3.770354423169829,3.15856602436841,-0.6117883988014192,1.1,1.0833333333333333,-0.01666666666666683,1,0,1,-3,0.0,-0.14080906868192855
batch_repetitive_0048,0,repetitive,-12.461120383268161,-12.35671442390282,0.1044059593653408,3.6825311171201793,3.1633873797450143,-0.5191437373751651,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.08273381294960813
batch_repetitive_0049,0,repetitive,-11.312565603723906,-11.185334479317572,0.12723112440633422,3.374522662933664,3.1542389231405856,-0.22028373979307858,1.1833333333333333,1.0833333333333333,-0.10000000000000009,1,0,1,-10,0.0,-0.02254901960786604
